freq,unit,penscheme,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S12PC,K5,SK	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S12PC,K5,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,AT	: 	: 	: 	608 	: 	: 	-109 	: 	: 	1657 	: 	: 
A,MIO_EUR,S12PC,K7,BE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,BG	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S12PC,K7,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,CY	: 	: 	: 	21 	: 	: 	-6 	: 	: 	-18 	: 	: 
A,MIO_EUR,S12PC,K7,CZ	: 	: 	: 	-103 	-31 	-27 	-22 	428 	190 	236 	-426 	751 
A,MIO_EUR,S12PC,K7,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,DK	: 	: 	: 	5658 d	: @C	: 	3379 d	: 	: 	6759 d	: 	: 
A,MIO_EUR,S12PC,K7,EE	: 	: 	: 	48 	: 	: 	-101 	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,EL	: 	: 	: 	30 	: 	: 	-37 	: 	: 	74 	: 	: 
A,MIO_EUR,S12PC,K7,ES	: 	: 	: 	493 	: 	: 	-1156 	: 	: 	2259 	: 	: 
A,MIO_EUR,S12PC,K7,FI	: 	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	: 	: 	: 
A,MIO_EUR,S12PC,K7,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,HR	: 	: 	: 	52 	: 	: 	-3 	: 	: 	812 	: 	: 
A,MIO_EUR,S12PC,K7,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,IE	: 	: 	: 	1552 	: 	: 	-754 	: 	: 	1050 	: 	: 
A,MIO_EUR,S12PC,K7,IS	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S12PC,K7,IT	: 	: 	: 	1210 	: 	: 	-2135 	: 	: 	6975 	: 	: 
A,MIO_EUR,S12PC,K7,LT	: 	26 	64 	-5 	57 	114 	-129 	532 	237 	958 	-849 	: 
A,MIO_EUR,S12PC,K7,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	114 	: 	: 
A,MIO_EUR,S12PC,K7,LV	: 	: 	: 	32 e	57 e	99 e	-184 e	377 	95 	437 	: 	: 
A,MIO_EUR,S12PC,K7,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12PC,K7,NL	4818 	391 	15099 	2566 	-4335 	22034 	-5941 	: 	: 	3569 	: 	: 
A,MIO_EUR,S12PC,K7,NO	: 	: 	: 	-56 	570 	1450 	-1699 	2906 	1737 	2803 	: 	: 
A,MIO_EUR,S12PC,K7,PL	: 	: 	: 	-2997 	: 	: 	-5027 	: 	: 	9092 	: 	: 
A,MIO_EUR,S12PC,K7,PT	: 	: 	: 	0 	: 	: 	0 	: 	: 	63 	: 	: 
A,MIO_EUR,S12PC,K7,RO	: 	: 	: 	: 	: 	: 	0 n	: 	: 	0 n	: 	: 
A,MIO_EUR,S12PC,K7,SE	7611 	22239 	18506 	6292 	1239 	14375 	-12615 	46248 	7196 	56633 	: 	: 
A,MIO_EUR,S12PC,K7,SI	: 	: 	: 	45 	: 	: 	-2 	: 	: 	139 	: 	: 
A,MIO_EUR,S12PC,K7,SK	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S12PC,K7,UK	: 	: 	: 	15 	: 	: 	-43514 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,BE	: 	: 	: 	15 	: 	: 	0 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,SE	1733 	1834 	1795 	1778 	1891 	1990 	2275 	2346 	2347 	2947 	: 	: 
A,MIO_EUR,S13PBI,D6111,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6111,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,BE	: 	: 	: 	0 	: 	: 	0 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S13PBI,D6121,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6121,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,BE	: 	: 	: 	4 	: 	: 	0 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S13PBI,D6131,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6131,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,BE	: 	: 	: 	1 	: 	: 	2 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,SE	674 e	716 e	728 e	785 e	818 e	861 e	872 e	900 e	925 e	1035 e	: 	: 
A,MIO_EUR,S13PBI,D6141,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D6141,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,BE	: 	: 	: 	3 	: 	: 	0 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61SC_P,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,BE	: 	: 	: 	17 	: 	: 	2 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,SE	2406 	2550 	2523 	2563 	2709 	2852 	3148 	3247 	3272 	3982 	: 	: 
A,MIO_EUR,S13PBI,D61_P,SI	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D61_P,UK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,BE	: 	: 	: 	67 	: 	: 	1 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,CY	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,DE	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,DK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,ES	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,IE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,IS	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,IT	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,LU	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,LV	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,NL	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,NO	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,PT	: 	: 	: 	: m	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S13PBI,D62_P,SE	1471 	1449 	1443 	1448 	1442 	1457 	1439 	1452 	1493 	1636 	: 	: 
